Time (s),Entropy
25.74,2.17355
25.89,2.03515
25.96,2.03905
26.02,2.03905
26.1,2.2735499999999997
26.15,1.7973499999999996
26.21,2.2735499999999997
26.25,1.7973499999999996
26.32,2.2735499999999997
26.38,2.17685
26.42,1.9477
26.61,2.0855
26.65,1.9477
26.72,2.0855
26.78,1.9438
26.84,2.171
26.91,2.1822
26.95,1.706
27.02,2.1822
27.09,2.1822
27.13,1.706
27.2,2.1822
27.26,2.1822
27.61,2.4332
27.67,2.0822
27.76,2.4087
27.85,2.5955
27.93,2.1822
27.98,2.171
28.04,2.1822
28.12,2.1822
28.16,1.9477
28.25,2.5261
28.61,2.1955
28.66,2.3884
28.72,2.3884
28.79,2.1822
28.87,2.5261
28.92,2.3884
28.99,2.1822
29.04,2.1822
29.11,2.5955
29.61,1.8395
29.66,2.1822
29.76,2.871
29.81,1.9438
29.87,2.3884
29.94,2.3884
30.03,2.871
30.11,2.1855
30.18,2.3087
30.6,1.9477
30.67,2.5955
30.75,2.5261
30.8,2.3884
30.87,2.1822
30.96,2.5955
31.03,2.871
31.11,2.6261
31.15,2.0822
31.62,1.6477
31.67,1.9477
31.76,2.8955
31.83,2.4087
31.92,2.871
31.95,1.706
32.01,2.1822
32.09,2.5261
32.13,2.1822
32.18,1.9477
32.63,1.9477
32.71,2.5955
32.77,2.1822
32.86,2.871
32.95,2.5955
33.02,2.3087
33.08,2.5955
33.17,2.871
33.24,2.4087
33.66,2.4087
33.73,2.3087
33.79,2.3087
33.88,2.4087
33.96,2.5955
34.04,2.5955
34.1,2.0822
34.17,2.4087
34.23,1.9477
34.6,2.4955
34.7,2.7332
34.79,2.871
34.87,2.5955
34.96,2.5261
35.03,2.4087
35.08,1.9477
35.14,2.3884
35.21,2.1822
35.27,2.1822
35.6,2.22
35.67,2.1822
35.76,2.5955
35.84,2.5955
35.92,2.5955
35.98,2.171
36.05,2.4087
36.1,2.0855
36.16,2.171
36.23,2.1822
36.61,2.0884
36.69,2.0855
36.76,2.1822
36.87,2.871
36.93,2.1822
37.01,2.5261
37.07,2.1822
37.15,2.5955
37.24,2.7332
37.33,2.5955
37.4,2.1822
37.69,2.871
37.76,2.4087
37.84,2.3884
37.9,1.9477
37.99,2.5261
38.07,2.1822
38.14,2.5955
38.21,2.3884
38.28,1.9438
38.35,2.5261
38.64,2.0855
38.73,2.5955
38.81,2.3884
38.92,2.3884
39.0,2.4087
39.06,2.0855
39.13,2.6332
39.23,2.4087
39.29,1.9477
39.35,1.9477
39.61,2.871
39.69,2.6261
39.76,2.4464
39.82,2.1822
39.9,2.6905
39.98,2.7332
40.06,2.4087
40.13,2.3884
40.19,2.3884
40.3,2.5955
40.4,2.5261
40.66,2.4087
40.75,2.7905
40.81,2.0822
40.9,2.4087
40.99,2.4464
41.03,1.9477
41.12,2.4087
41.18,2.32
41.22,2.0822
41.27,2.1822
41.33,1.9477
41.64,2.2834
41.73,2.4087
41.83,2.5955
41.91,2.3884
41.99,1.9477
42.1,2.8955
42.19,2.1822
42.27,1.9477
42.34,2.3884
42.43,2.5955
42.66,2.1822
42.72,2.0822
42.81,2.4087
42.89,1.9477
42.99,2.7905
43.08,2.871
43.17,2.6905
43.24,1.9438
43.31,2.3087
43.62,2.3639
43.67,2.1822
43.76,2.871
43.83,2.1822
43.91,2.5261
43.96,2.0855
44.03,2.1822
44.09,2.1822
44.18,2.871
44.24,2.1822
44.29,1.9477
44.66,2.3884
44.75,2.4087
44.82,2.5261
44.89,2.3884
44.98,2.3884
45.08,2.4087
45.13,2.0855
45.18,2.0855
45.23,2.0855
45.63,2.1955
45.68,1.9438
45.73,1.9477
45.82,2.5955
45.88,2.0855
45.97,2.3884
46.03,2.3884
46.11,2.1822
46.21,2.7905
46.29,2.3087
46.38,2.5955
46.63,1.7822
46.73,2.4087
46.79,1.9477
46.87,2.3087
46.96,2.4087
47.06,2.871
47.14,2.6261
47.22,2.5261
47.31,2.6332
47.64,2.3087
47.7,1.9477
47.78,2.5955
47.85,1.9477
47.91,1.9477
47.97,2.1822
48.04,2.1822
48.13,2.6332
48.22,2.871
48.63,2.2577
48.7,2.5955
48.76,2.1822
48.84,2.4464
48.9,2.4087
48.96,2.171
49.02,2.1822
49.07,1.706
49.16,2.5955
49.23,2.5955
49.62,2.3905
49.7,2.3884
49.76,2.3884
49.85,2.871
49.94,2.6261
50.02,2.5261
50.1,2.5955
50.19,2.7332
50.24,1.9477
50.66,2.1822
50.75,2.5955
50.83,2.3884
50.89,1.9477
50.98,2.5955
51.05,2.1822
51.12,2.3884
51.19,2.3884
51.26,2.1822
51.33,2.5955
51.65,2.3884
51.72,2.1822
51.78,2.171
51.84,2.1822
51.92,2.1822
51.96,2.171
52.03,2.1822
52.1,2.4087
52.19,2.8282
52.25,2.3884
52.66,1.9477
52.73,2.1822
52.78,1.9477
52.88,2.8955
52.95,2.3087
53.03,2.7905
53.09,1.9477
53.15,2.5955
53.21,1.9477
53.29,2.4087
53.65,2.0905
53.72,2.1822
53.78,1.9477
53.86,2.5261
53.92,2.1822
53.98,2.1822
54.07,2.5955
54.15,2.5261
54.22,2.3884
54.31,2.5261
54.67,2.7087
54.77,2.871
54.84,2.5955
54.9,2.1822
54.97,2.3087
55.05,2.6261
55.12,2.3087
55.19,1.9477
55.26,2.4087
55.64,2.2261
55.69,1.9477
55.78,2.4464
55.86,2.4087
55.91,2.0822
55.98,2.4087
56.06,2.1822
56.11,2.171
56.18,2.4087
56.25,2.5261
56.67,2.3884
56.73,1.9477
56.78,1.9477
56.83,1.9477
56.91,2.1822
56.96,2.3884
57.04,2.4087
57.11,2.22
57.17,2.4087
57.26,2.7332
57.67,2.3087
57.74,2.5955
57.82,2.3884
57.88,2.1822
57.93,2.0855
58.0,2.3884
58.06,2.1822
58.16,2.5261
58.22,2.3884
58.29,2.3884
58.65,2.6332
58.72,2.6261
58.79,2.5261
58.83,1.706
58.91,2.4087
58.96,2.22
59.03,2.5261
59.14,2.7905
59.21,2.4087
59.26,2.0855
59.62,2.2261
59.69,1.9477
59.77,2.4087
59.84,2.5261
59.91,2.171
59.97,2.1822
60.02,1.9477
60.08,1.9477
60.15,2.1822
60.21,2.171
60.29,2.4087
60.66,2.3282
60.74,2.1822
60.81,2.3884
60.88,2.1822
60.96,2.3884
61.05,2.5955
61.11,2.3884
61.2,2.5955
61.28,2.3884
61.67,2.6332
61.77,2.7905
61.86,2.5955
61.91,2.0822
61.98,1.9438
62.02,2.0822
62.11,2.6261
62.2,2.8282
