Time (s),Entropy
16.89,2.3939
17.12,2.3616
17.31,2.3327
17.54,2.3967
17.83,2.4227
18.07,2.4772
18.3,2.5632
18.74,2.7162
18.97,2.5292
19.19,2.5136
19.67,2.4894
19.91,2.6265
20.12,2.3405
20.64,2.5404
20.89,2.6211
21.14,2.5708
21.68,2.5657
21.94,2.5907
22.2,2.6748
22.67,2.6071
22.89,2.5976
23.13,2.5404
23.67,2.6204
23.88,2.5231
24.12,2.5708
24.67,2.6483
24.91,2.5708
25.15,2.5976
25.76,2.8160
26.0,2.6211
26.24,2.5708
26.77,2.7707
27.02,2.6691
27.64,2.5119
27.88,2.5907
28.09,2.4002
28.64,2.4662
28.9,2.6266
29.14,2.5459
29.71,2.5829
29.94,2.5404
30.51,2.5513
30.74,2.5147
30.98,2.5708
31.57,2.4824
31.78,2.5206
32.04,2.6464
32.59,2.6746
32.88,2.5708
33.12,2.5976
33.61,2.6737
33.89,2.7456
34.15,2.7456
34.71,2.7420
34.98,2.7648
35.58,2.6990
35.82,2.5708
36.03,2.4894
36.59,2.5056
36.84,2.6013
37.03,2.4256
37.56,2.6211
37.8,2.5723
38.05,2.5907
38.66,2.4540
38.92,2.6965
39.14,2.4334
39.71,2.6464
39.94,2.6211
40.16,2.4894
40.74,2.5404
40.98,2.6211
41.22,2.5147
41.76,2.6622
42.01,2.6947
42.64,2.7391
42.88,2.6204
43.07,2.6265
43.66,2.4732
43.91,2.6483
44.13,2.4532
44.73,2.5837
44.96,2.5723
45.24,2.6691
45.77,2.7743
45.99,2.4532
46.22,2.5723
46.76,2.7331
47.03,2.5907
47.59,2.4002
47.84,2.6204
48.06,2.5231
48.68,2.5179
48.89,2.5404
49.53,2.6211
49.74,2.4002
49.98,2.6211
50.55,2.6211
50.77,2.4532
50.98,2.5404
51.57,2.5056
51.78,2.4894
52.0,2.5056
52.23,2.4894
52.75,2.5907
52.95,2.4002
53.53,2.5404
53.81,2.6947
53.99,2.3055
54.56,2.4002
54.81,2.4858
55.02,2.5481
55.61,2.5147
55.85,2.6493
56.07,2.4532
56.65,2.5119
56.92,2.7401
57.17,2.5657
57.69,2.5778
57.88,2.4334
58.13,2.6464
58.75,2.7540
58.98,2.5723
59.23,2.5907
59.74,2.6538
59.98,2.6464
60.56,2.5119
60.82,2.5907
61.05,2.5723
61.62,2.6691
61.85,2.6211
62.1,2.7200
62.67,2.6126
62.93,2.6691
63.58,2.6691
63.82,2.4894
64.08,2.6464
64.71,2.7456
64.92,2.5206
65.52,2.6464
65.79,2.6965
66.03,2.5404
66.67,2.6283
66.93,2.7228
67.14,2.4858
67.66,2.3894
67.87,2.5056
68.09,2.6265
68.73,2.6464
68.96,2.5976
69.57,2.4858
69.86,2.7200
70.13,2.7855
70.66,2.7391
70.92,2.7203
71.53,2.6464
71.73,2.4334
71.99,2.6211
72.21,2.5147
72.72,2.6006
72.98,2.6519
73.2,2.4858
73.69,2.4570
73.9,2.4894
74.52,2.6317
74.78,2.6493
74.99,2.4532
75.55,2.5837
75.78,2.5976
76.02,2.6493
76.57,2.6736
76.79,2.5404
77.04,2.6211
77.6,2.4894
77.86,2.6947
78.08,2.4532
78.58,2.4534
78.84,2.7200
79.1,2.6483
79.59,2.4288
79.8,2.5147
80.04,2.5404
80.64,2.7569
80.88,2.6265
81.15,2.6464
81.68,2.5708
81.98,2.6965
82.58,2.6464
82.8,2.5404
83.0,2.4894
83.68,2.6691
83.96,2.6965
84.18,2.5778
84.7,2.6464
84.97,2.6483
85.22,2.5657
85.76,2.7115
86.03,2.6965
86.25,2.4630
86.78,2.7093
87.03,2.6211
87.54,2.6394
87.75,2.4660
87.97,2.5734
88.6,2.6493
88.87,2.6483
89.1,2.4483
89.67,2.5644
89.95,2.6965
90.19,2.5723
90.78,2.6691
91.03,2.6947
91.57,2.5098
91.86,2.8026
92.1,2.5147
92.66,2.4786
92.92,2.6211
93.16,2.5976
93.74,2.4815
93.95,2.6265
94.56,2.6750
94.76,2.4334
94.99,2.4058
95.22,2.5976
95.77,2.7210
96.01,2.5962
96.57,2.5928
96.81,2.6266
97.04,2.5734
97.64,2.6283
97.87,2.4858
98.1,2.6039
98.72,2.5375
98.95,2.4894
99.2,2.5907
99.71,2.5583
99.97,2.6493
100.22,2.5976
100.69,2.6211
100.88,2.4532
101.09,2.4894
101.7,2.4532
101.94,2.6265
102.21,2.5962
102.77,2.6792
102.96,2.4058
103.58,2.5375
103.8,2.4002
104.0,2.4532
104.61,2.5887
104.81,2.4334
105.03,2.4532
105.56,2.4532
105.8,2.5976
106.03,2.5708
106.6,2.5404
106.87,2.6965
107.07,2.4630
107.66,2.6736
107.92,2.7200
108.14,2.5206
108.68,2.5404
108.94,2.6211
109.18,2.5404
109.78,2.6483
110.06,2.6965
110.58,2.3932
110.83,2.6464
111.07,2.6539
111.71,2.7910
111.92,2.4630
112.22,2.6691
112.75,2.5723
112.96,2.4894
113.2,2.5907
113.75,2.6736
113.99,2.6211
114.22,2.4532
114.73,2.4334
114.93,2.4630
115.17,2.5657
115.69,2.5657
115.91,2.5481
116.19,2.6691
116.73,2.5127
117.01,2.6265
117.28,2.6683
117.32,0.9994
117.37,0.9947
117.43,0.9906
117.51,0.9710
117.58,1.1652
117.65,1.4556
117.71,1.5793
117.76,1.6197
117.82,1.4331
117.88,1.5911
117.92,1.3706
117.95,1.5441
117.99,1.5447
118.03,1.4588
118.08,1.4452
118.13,1.5803
118.16,1.3725
118.2,1.5732
118.24,1.4293
118.28,1.5006
118.33,1.5124
118.4,1.4510
118.45,1.5518
118.5,1.3079
118.67,2.5058
118.74,1.2479
118.79,1.6666
118.83,1.4841
118.87,1.4452
118.91,1.6991
118.99,1.5007
119.04,1.6119
119.07,1.2675
119.13,1.3389
119.2,1.6869
119.23,1.4369
119.29,1.3725
119.35,1.7084
119.4,1.3706
119.43,1.4560
119.47,1.3907
119.5,1.3907
119.54,1.4452
119.66,1.4689
119.71,1.2704
119.77,1.3423
119.82,1.4924
119.87,1.4172
119.91,1.5417
119.95,1.2811
120.02,1.5924
120.08,1.3423
120.11,1.6556
120.13,1.5911
120.16,1.7120
120.23,1.2847
120.26,1.4193
120.31,1.4387
120.35,1.5911
120.37,1.5286
120.42,1.4764
120.49,1.2454
120.54,1.3706
120.56,1.6171
120.62,1.5475
120.65,1.3439
120.69,1.3505
120.72,1.4876
120.76,1.3631
120.78,1.1720
120.81,1.2789
120.86,1.5060
120.88,1.3706
120.92,1.3575
120.98,1.3790
121.0,1.6171
121.03,1.4007
121.06,1.3346
121.08,1.2989
121.12,1.3514
121.17,1.5662
121.22,1.6924
121.26,1.2068
121.32,1.7059
121.37,1.5235
121.45,1.5560
121.5,1.7616
121.52,1.4045
121.57,1.2282
121.63,1.6856
121.69,1.3289
121.73,1.5531
121.8,1.7466
121.85,1.4045
121.88,1.6448
121.94,1.3907
122.01,1.5625
122.04,1.7738
122.06,1.2361
122.13,1.6529
122.19,1.6886
122.25,1.4981
122.31,1.5885
122.36,1.4331
122.4,1.5286
122.43,1.5840
122.47,1.3790
122.51,1.3389
122.54,1.0900
122.57,1.0816
122.6,1.3003
122.63,1.2678
122.66,1.3421
122.7,1.4172
122.72,1.2789
122.76,1.3706
122.79,1.4764
122.81,1.3354
122.84,1.4076
122.87,1.4689
122.91,1.4478
122.94,1.6341
122.98,1.3892
123.02,1.6965
123.09,1.6048
123.15,1.5001
123.19,1.5007
123.23,1.5054
123.29,1.5531
123.36,1.6125
123.41,1.5924
123.44,1.5267
123.47,1.2182
123.5,1.0599
123.55,0.9852
123.58,1.4162
123.65,1.6924
123.69,1.5245
123.75,1.6441
123.79,1.4007
123.84,1.6028
123.89,1.3938
123.94,1.4588
124.0,1.6991
124.03,1.2542
124.07,1.6580
124.11,1.6815
124.17,1.3135
124.23,1.5491
124.29,1.5286
124.35,1.6163
124.42,1.6013
124.48,1.4981
124.52,1.5579
124.55,1.2542
124.61,1.1973
124.66,1.4949
124.71,1.4980
124.78,1.1649
124.83,1.4655
124.87,1.6835
124.93,1.5001
125.01,1.4076
125.04,1.5846
125.07,1.5793
125.08,1.4464
125.11,1.5162
125.13,1.0460
125.16,1.4172
125.2,1.5131
125.26,1.3631
125.32,1.6601
125.36,1.6835
125.39,1.4011
125.46,1.4293
125.52,1.5267
125.54,1.4084
125.57,1.1968
125.61,1.1968
125.72,1.8689
125.79,1.6679
125.83,1.5452
125.9,1.5001
125.96,1.6496
126.03,1.6707
126.09,1.4981
126.13,1.5572
126.17,1.5293
126.2,1.3790
126.22,1.5162
126.25,1.4591
126.29,1.4295
126.34,1.5793
126.38,1.6496
126.44,1.5619
126.48,1.4071
126.51,1.4510
126.56,1.5624
126.6,1.1375
126.64,1.3160
126.67,1.2765
126.71,1.4084
126.75,1.3219
126.8,1.2468
126.83,1.2354
126.88,1.4764
126.89,1.3219
126.91,1.3042
126.92,1.1872
126.94,1.2468
126.98,1.2675
127.03,1.2468
127.09,1.5520
127.14,1.6513
127.17,1.5475
127.21,1.3423
127.23,1.4076
127.29,1.5647
127.33,1.4331
127.36,1.5161
127.44,1.4293
127.48,1.6411
127.52,1.4242
127.55,1.2894
127.62,1.6544
127.67,1.5124
127.74,1.5948
127.78,1.5602
127.83,1.4369
127.9,1.5518
127.96,1.5254
128.0,1.2516
128.05,1.5507
128.09,1.5685
128.15,1.5058
128.2,1.6162
128.26,1.4357
128.3,1.5518
128.35,1.6421
128.42,1.5599
128.46,1.5885
128.49,1.0599
128.52,0.9994
128.56,0.9787
128.62,1.1375
128.68,1.2468
128.74,1.3275
128.79,1.3275
128.86,1.3421
128.9,1.3987
128.93,1.1848
128.97,1.6131
128.99,1.5162
129.03,1.4076
129.06,1.6171
129.1,1.0026
129.14,1.5554
129.17,1.2361
129.19,1.6449
129.23,1.4297
129.27,1.6781
129.32,1.3659
129.38,1.5235
129.4,1.5060
129.45,1.3706
129.49,1.3575
129.52,1.1872
